DPPNNNNNNNBS 	CRBVVVSPPNNNNNBSZVVVVVSDPPNNNNNAS 
DPPNNNNNNAT 	CRAVVVVVTNBTPPCRBVTPNNNNNNBSCRBVVVVVSPPNNNNNNNNNBSPCRBVVVVVSNNATPPZVVVVTPPNNNNNNNNNBT 
DDNNNBS 	CRBVVVVSPPNNNNNNNNASZVVSDDPNNNNNNBT 
DDPNNNNNNNNNBS 	CRBVVVVSNNNNNNNNNBTPCRBVVVTNNNNNNNNBSCRBVVVVVSNNBTPZVSDPNNNNNBS 
DPPNBT 	CRBVVVTNNNNNNNNATCRAVVTPNNNBTCRBVVVTPNNNNATPZVVVVTDDNAS 
DDDNNNNNNNNNAT 	CRAVVVVTPPNNNNNNNNNBTCRBVTPPNNNNASPCRAVVVVSPPNNNNNNNNNASCRAVVVSNNNBSPPZVVVVVTDDNNNNNBS 
DDDPNNNAS 	CRAVVVVSPPNNBSPPZVVVSDPPNNNNAS 
DDNNNNNNNNAS 	CRAVVVSPPNNNNNNBSPCRBVVVVVSPNNNNBTCRBVVTPPNNNATZVSDNNNNNAS 
DPPNNNNNNNNNBS 	CRBVVVVVSPPNNNNNNNATPPCRAVTNNNNNNNBTPPZVVVSDPPNNNAS 
DDNNNBT 	CRBVTPPNNNNBSPCRBVSPNNNNNNNNBSPPCRBVVVVSNNNNNNNNNBTPZVVTDDPPNNNNNAT 
DDDPNNNNNAS 	CRAVVSPNNNNNNBSZVSDPNNNNNNNAS 
PNNNNNAT 	CRAVVVVVTPPNNNBSPPCRBVVVVVSPNATPZVVVTDPPNNNNNBT 
DDPNNNNNNNNAS 	CRAVVVVSNNBSPPCRBVSNNNBSZVVVVSDDPNNNNNNNBS 
DNNNNNNNNNBT 	CRBVVVVVTPPNNNNNNNNATPCRAVVVVVTPPNNNNNNNNBTPPZVTDDDPNBS 
NNNNBS 	CRBVVSNNNNASPCRAVVVVVSNNNNNNNNNBSPCRBVVSPNNNNNNASPZVVVSDDDNAS 
DDDPNNNNNNBT 	CRBVVVVTNNNNNNBSPPCRBVVVSNNASCRAVVVVVSNNASCRAVVSPPNBTPZVVVVVTNNNNBS 
DPNNNNNNNNNAT 	CRAVVVTPNNNBSZVTDNBT 
DPPNNNNNNNNAT 	CRAVTPNATPCRAVVTPNNNBSCRBVVVVVSPPNATPZVVVVVTPNNBT 
DNNBT 	CRBVVTPNNNNBSPPCRBVSPNNNNNNATCRAVVVVTPPNNNBTZVTDDDNNNNNNAS 
DDDNNNAT 	CRAVTPPNNNNNNNBSZVTPPNNNBS 
DDPNNNNNAT 	CRAVVVTPNNASPCRAVVVVVSNNNNNNNNNBSPZVVTDDNNNNBS 
DDDNNNAT 	CRAVVVVTNNNNBTPCRBVVVVTPPNNNNNASCRAVSPPNNNBSPPZVVVVTNBT 
DDDNNNBT 	CRBVVVVTPNNNNNNNATCRAVVVVTNNNNNNNNNATPCRAVVVVVTPNNNNNNNNBSPZVVVVTPPNNNNNNNNNAT 
NNNNNNNNBS 	CRBVSPPNNNNNNATPPCRAVVVVVTPPNNNNNNNNBSPZVVVSDPPNNAT 
DPNAT 	CRAVVTPPNNNATPCRAVVTPPNBTPPCRBVVVVVTPNBSPPCRBVSPPNNNNNNNNNASPPZVTDDPNNBT 
DPPNNNNNNBS 	CRBVVVVSPPNNNNASPCRAVVVSNNNNBSPPZVVVVVSDDDNNNNNNNNNBT 
DPNNNNBT 	CRBVVVVTPNNNNNNNBTCRBVVVVTNNNNNNATPPCRAVVTNNNNNNNASPCRAVVVVSPNNNNNNNASZVTDDDPPNNNAT 
DNNNNNNBS 	CRBVSNASPPCRAVVSNNNNBSPZVSDPPNNNBT 
DDPPNNNNNNAT 	CRAVVVVTNNNNNBTPCRBVTPNNNNNNNNATCRAVVVTPPNNNNNNNNBTZVVVTDDPNAS 
DPPNNNNNNNAT 	CRAVVVVTPPNNNNNNBSPPCRBVSPNNNNNNNNASPCRAVVVVVSNNNNNATPPCRAVVVVTPPNNNNBTZVVTDDDPNNNNNBS 
DPPNNNNNNNNAT 	CRAVTPPNNNNBTPPCRBVVVVTPNNBTPZVVVVVTPNNNNNNBT 
DDDPPNNNNAS 	CRAVVVVVSPNNNATPPZVVVVSNNNNNNNNNBT 
DPPNNNNNNNNNAT 	CRAVVVTNNNNNNNNNATPCRAVVTPNNNNNNNATPPZVTDDDNNNNAS 
NNNNNNNAS 	CRAVVVSNNNNNNNNATPPZVSDDDPNNAT 
DDNNNBS 	CRBVVVVVSPPNNNNNNNASCRAVVVVSNNNNNNNBTZVVVVSDPNNNNNNNNBT 
DDPNNNAT 	CRAVVVVVTPPNNNNNNNNATPPCRAVTNNNATPPZVVVVTDNNNNNNNNAT 
DPNNNNNBS 	CRBVVVVVSPPNNNNASCRAVVVVVSNNNNNBSPCRBVVVVVSPNNNNATPPZVVVVVSDDDPPNNNNNNNNAT 
DDDPPNNNNNNNNNAT 	CRAVVTPPNNNNNNNASCRAVVVVVSPNATPPCRAVVTPPNNNBTPCRBVVTNNNNNNNBSPZVVVVVTDDPNNBS 
DDDPNBS 	CRBVVVVSNNNNNNNNATCRAVVVTPNNNNNNNNBTCRBVTPNNNNATPPCRAVVVVVTPPNNNNNNNNNBTPPZVVVVVSDPPNNNNNNNNAS 
DDDNNNNAS 	CRAVVSPPNNNNNASPCRAVSPNNNNNNNNNBTPZVSDDNNNNNAS 
DPNNNAT 	CRAVVTPNBTPPCRBVTPPNNNNNNBTCRBVTNNNNNNASZVVVVTDDDNAT 
DDNNNNNNNNNBS 	CRBVVVSPNNNNASPPCRAVVVVVSNNNNNNASCRAVVSPPNNNATPPCRAVVVVTPNNBTPPZVVVSDPNNNAT 
PPNNNNNNNNBT 	CRBVVVVTPPNNNATZVTPNNNNNNNAT 
DDPNNNNNNNNBS 	CRBVVVVVSPPNNNNNNNNASPPCRAVVVVVSNNNNNNNBTZVSDDDNNNNNNBS 
PPNNNAT 	CRAVVTNNBTPCRBVVVTPNNNNNNNBTPPZVVTDNNNAS 
DDPNNNNNNNBT 	CRBVTPPNNNNNNNNNBSPPCRBVVSNNNBTCRBVVVTNNNNNNNNATPZVVVTDPNNNNNNNNNAS 
DDDNNNNNNNNBS 	CRBVVVVSNNNNNNNNATPCRAVVVTNNNNBTCRBVVVVVTPPNNNNNNNBSPPZVSDPPNNAS 
DNNNNNNNBS 	CRBVVVSNBTPCRBVVVVTPNNBSPZVVSDDDPNNNNNNNNNAS 
DPNNNNNNNBS 	CRBVVVSPPNNNNBSPPCRBVSPPNNNBSZVVVVVSDDDPNNNNNNNBS 
DDDPNBS 	CRBVVVVVSPNNNASPPZVVVVSDDPPNNAS 
DPNNNNNNBT 	CRBVVVVVTPNNNNBSPPZVTDPNNNNAT 
DDDNNNNNNNNNBT 	CRBVVVVTPPNASPCRAVSNNNNNATPCRAVTNNASPPCRAVVSPNNNNNASPPZVVVVTPNNAT 
DDPNNNAT 	CRAVVVTPPNNNNNNNNBSZVVTDDDPPNNNNNAT 
NNAT 	CRAVVVVTPNNNBSCRBVVVVVSPNNNNNNNNATPZVVVVTDDDPPNBT 
NAT 	CRAVVVVTPNNNNBTPCRBVVTNATZVVVVVTDDPNNNNNNAS 
NNNNNNAS 	CRAVVVSPNNNNASPPCRAVVSPPNNNASPPZVSNNNAT 
DDDPNNNNNNAT 	CRAVVTNNNNNNNATZVTDDPPNNNNNAS 
DPPNNNNNNNNAT 	CRAVVTNNATPZVTDDDNNNNNNNNBT 
DDNNNNNNNNAT 	CRAVVTNNNNNNNNATZVVVVVTDPPNNNNNNNBS 
PPNNNNNNNNNAT 	CRAVVVVVTPNASPPCRAVVVSNNNNNNNNBSCRBVSPPNNNNBSCRBVVSPNNNNNNNNASZVVVVTDPPNAS 
DPNNNNNBT 	CRBVVVVVTNNNNNNNNNASPCRAVVVSPPNNNNNNNNNASCRAVVSNNNNNNNNATPPCRAVVVVTPNNNNNNBTPZVVTPPNNNNBS 
DDDNNNNAS 	CRAVVSNNNNNBSPPCRBVVVVSPNNNNNNATPPCRAVVTNNNBTPPCRBVTNNNBSPPZVVSDDPPNNNNNNNNNAT 
DPNNAT 	CRAVTNNNNNNNNBTPCRBVTNNNBTPZVVVTDDPNNNNNNNAT 
NNNNNNNNAS 	CRAVVVSPNNNASPZVSDPNNNNNAT 
DDPNNNBT 	CRBVVVTPPNASCRAVVSPNNNNBSPCRBVSNNNNNNNNNASCRAVVVVSPNNNNNBTPZVTNNNNNBT 
DDNNAS 	CRAVVVSPNNNNNNNATCRAVVVTNNNNNNNNNBTPCRBVTNNNNATPCRAVVTNNNNNASPPZVVVSDPNNNNNNNAT 
DDPPNNNNNBT 	CRBVTPPNNNNNNNNNATZVVTDDDNNNNNNNNBS 
PNNNNAT 	CRAVVVVTNNATPCRAVVVVTPPNNNNASPPCRAVSNNNBTPPZVVVVVTDDDPNNNNNNNNNBT 
DDDPPNNNBT 	CRBVVVVVTNNNNNNNNBSPPZVVVVVTDDDPNNNNNNNNNAT 
DPPNNNNNNNNNBT 	CRBVVVVTPPNNNATZVTPNNNNNNNAT 
DPPNNAS 	CRAVVVVSNNNNNASCRAVVVSPPNNASCRAVSPNNNNNNNNBTPCRBVTPPNNNNNNNNNATPZVVVVVSDPPNNNNNNNNNAS 
DNNNAS 	CRAVVVVVSPNNNNNNNASPCRAVVVVSPNASPCRAVVVSPPNNNNNATPPZVVVVVSDNBT 
DDDPPNAT 	CRAVVVTPNNNNNNBTZVVVVTPNNNNNNBS 
DPPNNAS 	CRAVVVSPNNNNNBSZVVVSDDDPNBT 
DPNAT 	CRAVVVVVTNNNNNNBSCRBVVVVSNNNNNNBSPZVVVTDPPNNNNBS 
DPNNNNNNNNBT 	CRBVTPPNNNNNNASPPCRAVVSPPNNNNNNNASPPZVVVTDPNNNNNNAS 
PPNNAS 	CRAVVVVSPPNNASPCRAVVSNNNASPCRAVVVVVSPPNNNNNBTPPCRBVVVVTPNNNNNBSPPZVSDDPPNAT 
DDPPNNNAT 	CRAVVTNNNBSZVVVVVTDDDPNNNNNNAS 
DDPNNNNBT 	CRBVVVVVTPPNBTZVVTNNNNNNNAT 
DDPPNNNNNNNAS 	CRAVVVSNNNNNNNASCRAVVVSPPNNNBTPPZVVVVVSDDDPPNNNNNNNBT 
DDDPPNNNNNNNNBS 	CRBVVVVSNNNNNNNBTPPCRBVTPNNNNNNNNNASPPCRAVSPNNNNNNBSPZVVVVVSDNNNNBS 
DDDNBS 	CRBVSPNNBTPPCRBVVVTNNNATPPCRAVVVVVTPNNNNNNATPZVVVVVSDPPNNNNNNNNNAT 
DPPNNBS 	CRBVSPNNNNBTPCRBVVVVTNNATPCRAVVVVTNASPZVVVSDDPPNNNNNNNBT 
DNNNNNAT 	CRAVVVTPPNATPCRAVVTPNNNBSPPCRBVVSPNNBTPCRBVVVTPPNNNASPZVVVTDPPNAT 
DDDPNBT 	CRBVVVTPPNNNNNNNNNBTPPCRBVVVVTPNNATPCRAVTPPNNNNNNATCRAVVVVVTPPNNNNNATZVVVTDDNAT 
DPNNNAT 	CRAVVVTNNNNNNASPCRAVVSPNNNNNNNNBSCRBVVVVVSNNNBSPCRBVVSNATPPZVVVVVTDPNNNNNAS 
DPNAS 	CRAVVVSPPNNNNNNATPPCRAVVTPPNNNNNATPPCRAVVVVTPPNASPCRAVVSPPNNNNNNNASZVVVSDDDNNNNNNNNNAT 
DDNNNNNNNNNAT 	CRAVTPNNNNNATZVVVVTDDNNNAT 
PPNNNNBS 	CRBVSNASPPCRAVVVVVSPNNNNNNNASPPZVSDPNNNNNNBT 
DDNNNNNBT 	CRBVVVVTPPNNNNATPCRAVVTPNNNATZVVVVVTPNNNNNNNBT 
DNBS 	CRBVVSNNNNNBTCRBVVVVVTPNNNNASPCRAVVVVSPPNNNNNATPCRAVVVTPNNNNNATPZVVVVSDNNNNAS 
NNNNNNBT 	CRBVVVVVTNNNNBTCRBVVVTPPNNNNNNNNNASPPZVVTDDNNBS 
PNBS 	CRBVVVVSPNASCRAVVVVVSNNNNNBSZVSPPNNNAS 
DNNNNNNBT 	CRBVVVVTPPNNNATCRAVTNNNNATPCRAVVVVTNBTPZVVVVTDNBS 
DDDPNAS 	CRAVSPNNNNNNBTPPCRBVVVVVTNNNATPPCRAVVTPNNNNNNNNNBSPPCRBVSPNNASPZVVVVSPNNNNNNBS 
DDDPPNNNBT 	CRBVTNNNNNNASPZVVVVTDDPNNNNNBT 
PPNNNNNAS 	CRAVVVSNNNNNNNBSPPCRBVVVVSNNNNNNNASCRAVVVVVSPNNNNNNNNNBTCRBVTPPNNNATZVVVVVSPNNNAT 
DNNAS 	CRAVVSPPNNNASPPCRAVVVVVSPNNNASPCRAVVSPNNBTZVSPNNAS 
DDDNNNAS 	CRAVVSPNASPPCRAVVSPNNNNNBSPZVVVVVSDDPPNNNNBT 
DPNNNNNNNNAT 	CRAVTNNNNNASCRAVSPNNNNNNNNBTCRBVVVVTPPNNNNNNBTPCRBVVTPPNBSPZVVVTNAT 
NNNNNNNNNAT 	CRAVTNNNNNNNNNATCRAVVVVVTPNNBTPCRBVTPPNNNNNNNNNBTZVVVTDDDNNNNNNBT 
DPNNNBT 	CRBVVTPPNATCRAVVVVVTPNNNNNNNNBTPPCRBVVVVVTNNNNNNNNNATCRAVVVVTPNNBTZVVVTDPNNNNAS 
PNNNNNNNNNBT 	CRBVVVVTPNNNNNNNNBSCRBVSPPNNNNNBTPPCRBVTPNNNNASPPCRAVVSPPNNNNBSZVTDPNNNBS 
NNNNNNNBS 	CRBVVVSPNNNNNBTCRBVVVTPPNNNNBSPZVVSDNNNNBS 
PPNNNNNNNBT 	CRBVVVVVTNNNNNNBSPPCRBVVVVSNNNNBSPPCRBVVVSNNNNNNNBSCRBVVVVSPPNNNNNNBTPZVVVVVTPPNNNNNNNNBT 
DDPNNNNNNAS 	CRAVVSNNNNNASCRAVVSPPNNATPPZVVVSDDDNNNNNNNNNAT 
DPNNNNAT 	CRAVVTNNNBTPPCRBVTNNNNNNNNATCRAVVVTNNNNNNNNATPZVVVVTPNNNNAS 
DDDPPNNAT 	CRAVVVVVTPNNNNNNNNNATCRAVVTPPNNNASCRAVVSPPNNNNNATPZVVVTDDDNNNNNNNBS 
DDDPNNNNAT 	CRAVVVVTPPNNNNNNBSPPCRBVSPNNNATPCRAVVVVVTPNNASCRAVVVVSNNATPZVVVTDDNNNNBS 
DDPNNNNAS 	CRAVVVSPNBSPPCRBVVVSNNNNBTPPCRBVVVVVTPPNNNNNNNATPPCRAVVTPPNNNNNNNASPZVVVVVSDDDNNNNNBT 
DDNBS 	CRBVVVSNNNNNNASPPCRAVVVVVSPNNNATCRAVVVVTNNNNNNNNASZVVVSPNNNNAT 
NNNNNNNNNBT 	CRBVVVVTPPNNNNNNBTZVVTDDPPNNNNNAT 
DDDPPNNNNNNNBS 	CRBVVSPNNASCRAVVSPPNNNNNNBTCRBVVTPNNNNNNNNBSPCRBVVSPNASPPZVSNNNNNNNBT 
DDPNNBS 	CRBVVVVSPPNNNNNNNNBTPCRBVVVVVTPNNNNNATPCRAVTPNNATZVVVVVSDDNNNNNNBS 
DDDPPNNNNNNNBT 	CRBVVVVTNNASZVVVVVTPNNBS 
PNNNNNBT 	CRBVVVVTPPNNNNASCRAVVVSNBTPCRBVVTPNNNNNBSZVVVVVTDPNNNNNNNNAT 
DDDPPNNNNNNNNNBS 	CRBVVSNNNNNNNNATCRAVVVVTNNNNNNNBTPPCRBVVVVVTPPNNNNNNNNNBSZVVVVSDPNNNNNNNNNBS 
DDNNNNNNNBS 	CRBVVVVVSPPNNNNBSZVVVVSNNNNNNNAS 
DDDPNNNNNNBT 	CRBVVVVTPPNNNNNNNNBSPPZVVVTDNBS 
PNNNNBS 	CRBVVVVSPPNNNNBTPCRBVVVVTNNNNNBTPPCRBVVTPNNNNNBTPZVVVVSDDPPNAT 
DDNNNNNNNNNBT 	CRBVTNNNNNNBSPPCRBVVVVSPNBTZVVTDDDNNNAT 
DDPNNNNNAS 	CRAVSPNNASPPZVVSDDDNAT 
PPNAT 	CRAVVVVVTPNNNNNNNNBTPCRBVVVTNNNNNNNNNBTCRBVVVTNNNNBTCRBVVVVVTPPNNNNNNNNNATPZVTDNBT 
PNNNNNNNNNBT 	CRBVVTNNNATPPZVVTDDDPPNNAS 
DPPNNBT 	CRBVVVVTNNNNNNNBTCRBVTNNBSPPZVTDNBS 
DPPNNNNNBS 	CRBVVSNNNNNNBSZVSDDPNNNNNAT 
DDNNNNNNNNNAT 	CRAVVVTPNNNNASPPCRAVVVVSPNNNNNBTCRBVVVVTPNNBTZVVVVTDDPPNNNNNNNNNBS 
DDDPPNBT 	CRBVVVTPNNNNNNNNATCRAVVTPNNNNNNNASCRAVVVVVSPPNNNNNNNNNATZVVTPPNNNNNNNNNBS 
NNNNBT 	CRBVVVVTPPNBTPZVVVTDDDPPNNNNNNNBT 
DDPPNNNNNNNNNBS 	CRBVVSNNNNASPPCRAVVVVSPPNNNBTPZVSDDDPNNNNNBS 
DDDPPNNBS 	CRBVSNNBSPPZVVVVSDDNNNNNNNNNBT 
NBS 	CRBVVVVVSNNBSCRBVVVSPNNNNNNNNASPCRAVVVVVSPNNNBSCRBVSPNNNNNNASPPZVVVVVSPPNNBS 
DDPPNNBS 	CRBVSPPNNNNNNNBTPCRBVVTPPNNNNATPPCRAVVVTPNNBSZVVSDDPPNNNNNNNNBS 
DDDPPNNNNNNNNNBS 	CRBVSPPNNNATZVVSDNNNNNNNNNBS 
NBS 	CRBVVSPNNNNATPPCRAVVTPNNNNNNNASPCRAVVSPNNNBTPZVVVVVSDPNNNNNNNBS 
DDPNBS 	CRBVSPPNNNNNNASPPCRAVVVSPNNNNNNATCRAVTNNNNNNNNATPZVSPNNNNNNAT 
DPPNBT 	CRBVVTPNNNNNNNNATPPCRAVVVVTPPNNNNNNASCRAVSPPNNNNNBTPPCRBVTPNNNNATPPZVVTNNNBT 
DDPNNNNNNNNNBT 	CRBVVVVVTPPNNNNNNBSPPCRBVSNNNNBSCRBVSNASPCRAVSPPNNNNNNBSZVVVTPNAT 
NNNNNNNNNAS 	CRAVVSPNNNNNNNNNBSCRBVVVVSNNNNNNNNATPCRAVVVVVTPNNNNASPZVVVSDDDPPNNNNNNNAT 
DDPPNNNNNNNNNBS 	CRBVVVSPPNNNNATPCRAVVVTPNNNNNNNNASPCRAVSPNNATCRAVTNNBTPZVVVSDDPPNNBS 
DDDNNNAT 	CRAVVVVVTPPNNASPCRAVVVVVSPNNNNNNATPCRAVTPNNNNNNNATPZVVVTDNAS 
PNNNNNBS 	CRBVVVSPPNASZVSDDNNNNAT 
DDNNNNNNNNBT 	CRBVTNNNASPCRAVSPNNNNBTPCRBVVVTPPNNNNNNNASPPZVTDDDPPNNNBT 
DDDPPNNBS 	CRBVVVSPPNNBSPPCRBVVSPPNNNASCRAVVVSNNNNNNNNNATCRAVVVVTNNNNNNNNNATZVSDPPNNNAS 
DDDPPNNNNNNNNNAS 	CRAVVVVVSNNNNNNNNASPCRAVVVVSPNNNNNNBTPPCRBVTPNNNATZVVVVSDPNNNNNNAS 
DPNNAT 	CRAVVVVVTPPNNNNBTPPZVVTDDNNNNNNNNNAT 
DDDPNNAS 	CRAVSPNNNNNATPCRAVTPNNNNNNNNASPCRAVSPNNNNNBTPPCRBVVTPPNNNNNNNATZVSNNNNAS 
DDDNNBT 	CRBVVVTPNNNNNNNNNATPCRAVVVVTPNNBTCRBVVTPPNNNNNATPZVVVTPNNBT 
PPNNNNNNNNNBS 	CRBVVVVSPNATCRAVVVVVTNNNNBSPCRBVVVVVSPNNNNNASPPZVVSDDDPNNNNNNNNNAS 
PNNNNNNNNBT 	CRBVVVVVTNNNNNASZVVTDDDPNNNAT 
DDPNNNNNNNNBS 	CRBVVVVVSPPNNNNNNBSPCRBVSPNNNNNNNBTPZVSDPNNNNAT 
DPNNBT 	CRBVVTPPNNNNNNNNNASPPZVTPPNNNNAT 
DDPNNNNNNNNBT 	CRBVVVVTPNATPZVVVVVTDDDPPNNNNNNNNNAS 
DPPNNNBT 	CRBVVVVTPPNNNBTCRBVVVTNNNNNNNNNATPZVTPPNNNNNAS 
DDPPNNNNNNNNBS 	CRBVVVVVSNNNNNNNASPCRAVVSPPNNNNBSCRBVVSNNNNNNBTPZVVSDDDPNNNNNNNNNAT 
DDDPNNBS 	CRBVSPPNNNNNBSZVVVVSDDPPNNNNNNNNNBT 
DPPNNNNNNNNNAS 	CRAVSPNBTPZVVSDDNNNAS 
DDPNNNNAT 	CRAVVVVVTPNNNNNNBSPCRBVVSPNNNNNNNNNBSPZVVVVTDDPNBS 
PPNNNBT 	CRBVVTPPNNNNNNBTPPCRBVVVTPNNNATCRAVVVVVTPPNNNNNNNNNBTCRBVVVVVTPNNNNNNNATPPZVVTNNNNNNBS 
DDNNNNNNNNNAT 	CRAVVVVTPNNBTPPCRBVVVVTNNNNNNBTPPZVTDDDNNNNNBT 
DPNNNBT 	CRBVVVVTNNNNNBSPCRBVSNNNNNNBTPCRBVVTNNNNNASPCRAVVVSPNNNNNNNATZVTDDNNNNAS 
PPNNNNNNNNNAS 	CRAVVVSNNNNNNNNBSPPCRBVVVVVSNNBTPCRBVTPPNNNNNNBTPPCRBVVVTPNNNNNNBTPPZVVVVVSDPPNNNNNAS 
DDPNNNNNAT 	CRAVTNNNATCRAVVVVVTPPNNNNBTPPCRBVVTPNNATCRAVVVVTPPNNNNNNNNASPPZVVVVVTPNNNNNAS 
NNNNNNAS 	CRAVVSPPNNNBSPPCRBVVVVSPNNNNNNNNBTZVVVVVSDDPNNNNNBS 
PPNNNNNNNNAT 	CRAVVVVVTPNNNNNNNNNATPZVVVVTDDNNNNNNNNAT 
DPPNNNNNNNNNAS 	CRAVVVVSPPNNNNBTCRBVTPNNNNNNBTCRBVTPNNNNNNNNNASPZVVSDDDPPNNNNNNNNBT 
DDNNNNNNNBT 	CRBVVVVTNNNNNNNNNATPPCRAVVVVVTNNNASCRAVVSPPNNNNNATPPZVVVVVTDDDNBT 
DDNNNNNAT 	CRAVVTNNNNNNNNASCRAVVVSNNNNNNNNNASZVVVVVTPPNNNNNNNNBT 
DDDPNNBS 	CRBVVVSNNNNNNNNNBTCRBVVVTPNNNNNNBTCRBVVTPPNNNNNNNASPPCRAVSPNNASPPZVSDDPNNNNNNNAT 
DDDPPNNNNNNNAT 	CRAVVVVTPPNNNNASPPZVVTDDPNNNNBS 
DDDPPNNNNNBT 	CRBVVTNNNNNNNNNASPPCRAVVVVVSPNNNNNNNNBSPCRBVVVVSNNNNNNNNNBSPPZVVVTPPNNNNAT 
PNNNNBS 	CRBVVSPNBTPPZVVVVVSPNBT 
DNNNNNNAT 	CRAVTPNATPPZVVVTDDDNNNNNNNBT 
DDDPNNNNNNBS 	CRBVSPPNNNNNASPPCRAVVSNASZVVVSDNNNNNNNBS 
DPNNNNBS 	CRBVVVVVSPPNNNNNNASPPCRAVVSNNNNASPPCRAVVSPPNNNNNASPCRAVVVVSNNNNNBSPZVVVSDDPPNNNNNNNNNAT 
DDPPNNNNNNNNNBS 	CRBVVSPPNNNNNNNASPCRAVVSPPNNNNNNNNNASPPZVVVSPNNNNBS 
DDDPPNNNNNNNNAS 	CRAVVVVVSPNNNNASPPZVVVSDDPPNNNNNNAS 
DDDPNNNNNNNAS 	CRAVSPPNNNNNATPPCRAVVTPPNNATPPCRAVVTPPNBTPPZVVVVVSDDNBS 
DPPNNNNNNNNNBS 	CRBVVVSPNNNNNNATPCRAVVVVTPPNNNNNNATPPZVVVVVSDDDPNAT 
DDDNNNNNBT 	CRBVVVVTPPNNNNNBTCRBVVVVTPPNNNNNNNBSPPCRBVVVSPNNNNNATPZVVVVTPPNNNNNNNNNAT 
DPPNNNNNBS 	CRBVVVSNNNASPCRAVVVSNNNNNNBSPPCRBVSNATZVSDDPNNNNNNNBS 
DDDPNNNAS 	CRAVVSNNNNNNNNNASPCRAVSPNNNNNNNATZVVVVSDDPPNNNNBS 
PNBT 	CRBVVVVVTPNNNNNNNNBTCRBVTNNNBTPPZVVTDDDNNNNNNNNNAT 
DDPPNNNNBS 	CRBVVVVSPNNNNBSPPCRBVVVVVSPPNNNNNNNNNATPPZVSDDNNNNNNNAT 
DPNNNAS 	CRAVVSNNNNNBTCRBVVTNNASZVVVSDPPNNNNNNNNNBS 
PNNNNNNNNNAS 	CRAVVVSPPNNNBSPCRBVSNNNNNBSPCRBVSPPNNNNNNNATZVVVSDDNNNNNNBT 
PPNNNNNNNNAS 	CRAVSPNNNNASPPCRAVVSPNNNNNNNBTCRBVVVVTNNNNNNNNASCRAVVSPNNNBTPZVVVVSNNNNNNBS 
DNNNNNNNNNAS 	CRAVVVSPNNNNNNNNATPCRAVVVVVTNNNNNNATCRAVVVVVTNNNNNNNNNASPZVVVVVSDPPNNNNNNNNNAT 
PPNNNNAS 	CRAVSNASPPCRAVVVVVSPNATPCRAVVTPNNNNNNNNATPZVSDPPNNNNNNNNBT 
DDDPPNNBS 	CRBVVVVVSPPNNASPPCRAVVSNNNNNNASPCRAVVVVSPNATPPZVSDNNNNAT 
PPNNNBT 	CRBVVTNATPCRAVVVTPNASCRAVVSNNNNNNNNNATZVVVVVTDNNNNNNNAS 
DNAS 	CRAVVVSNNNNNNNATCRAVVVVVTPNNNNATPPCRAVVVVTPNNNNNBTPPZVVSDNNNNNNNNNBT 
DDDPNNNNNNNBT 	CRBVTPPNNNNNATZVVVVVTPPNNNNNNNAT 
DPPNNNNAS 	CRAVVVSPNNNNNNNNATPZVSDNNNNNBS 
DDNNNNBS 	CRBVVVVSPNNNNNNNNBTCRBVVVTPNNNNNNNNATZVVVVVSPPNAT 
PNNNNBS 	CRBVSNNNNATPCRAVVVVTPPNNNATPCRAVTPNNNNNNNATPZVSPNNNNNNNNNAS 
DNNNNNNNNNAT 	CRAVVTPNNNNNNBSPPZVVVVTDDNNNNNNNAS 
DDDPNNNNNNNNAS 	CRAVVVVSPNNNNNNNBSPCRBVVSNNNNBTPPCRBVVVVVTPPNASCRAVVVSPPNNNNNNNATPPZVVVVVSDDDPPNNNNNNNAS 
PPNNAS 	CRAVSPNNNNNNNATPPZVVVVSDDPPNNNNNNNNNAT 
DPPNNNNNNNBS 	CRBVVVSPNNNNNNASCRAVVVVVSNASPPZVVVVSNNNNNNNNNBS 
DPPNNNNNNNNAS 	CRAVSPNNNATPPZVSDPPNAT 
DDDNNNNNNBS 	CRBVVVVVSPPNNNBSCRBVVVVVSPNNNATPZVVVVVSDDPPNNNNNAT 
DDDPNNNNNNAT 	CRAVVTPPNATCRAVVVTPPNATCRAVVVVVTPPNNBTPCRBVVTPNNNNASPZVTPNNNAT 
DPPNNNNNNNAT 	CRAVVVTNNNNNNNNASPCRAVVVVSNNNNNNASZVVVVTPNNNNNNNBS 
PPNNNNNAT 	CRAVTNNNBSPPZVVVTNNNNBT 
DDDPNNNNNAT 	CRAVVTPNNNNNNNASPZVVVVTPNNBT 
PPNNNNNNNNNAT 	CRAVVVVVTPNNNNNATPCRAVVVTPPNNBSPPCRBVVVSNNNNBSCRBVVVSPPNNNASZVVVTDPNNNBT 
DPNNNNNNNNAS 	CRAVVSPNNNASPPCRAVVVVSNNNNNBTPZVSDDPPNNNNNNAT 
DPNNNNNAS 	CRAVVVSPPNNNNNNATPCRAVVVVTPNNNNASPCRAVVVVSNNNBSCRBVVVSPPNNNNNNNNNATPZVVSDDNNNNNNNNNAS 
DDDNNNNNNNNAS 	CRAVVSNNNNNNBTPPZVVSPPNNNNNNNNNBT 
DPPNNNNBS 	CRBVSPPNNNBTCRBVVVVTPPNNNNNNATPPZVSDDDPNBT 
